No,Gender,Education,Working Status,Marriage Style,Status of Having a Child,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
290,2,3,2,2,1,1,2,1,1,1,1,1,1,0,0,2,2,1,1,1,2,0,0,0,0,1
116,2,2,2,2,1,0,0,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0
294,2,1,2,2,1,0,0,2,0,1,2,1,2,0,0,0,1,2,2,2,1,2,0,0,0,2
295,2,1,2,2,1,0,0,2,0,1,2,1,2,0,0,0,1,2,2,2,1,2,0,0,0,2
427,2,1,2,2,1,3,0,0,1,2,1,0,0,1,1,3,3,1,1,0,1,1,2,0,1,1
408,2,2,2,1,1,0,2,2,1,1,0,0,0,0,3,0,1,1,0,0,1,1,0,0,0,0
259,2,3,2,1,1,1,0,0,2,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0
338,2,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
391,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
327,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
243,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
314,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
147,2,3,2,2,2,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,2,1,1
430,2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
322,2,2,2,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,2,4,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
404,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,2,2,1,2,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
428,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,1,1,0,1,0
382,2,1,1,2,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
384,2,3,1,2,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
416,2,2,1,2,2,0,2,1,2,2,1,1,1,0,0,2,3,2,2,0,1,1,0,0,3,1
344,2,1,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,2,3,1,2,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
361,2,1,1,2,1,0,0,0,0,1,1,0,0,3,0,1,1,0,1,0,0,1,2,2,1,1
431,2,2,1,2,1,3,3,0,2,1,3,1,0,0,3,2,3,2,1,1,2,2,3,3,0,3
72,1,4,2,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
66,1,4,2,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0
153,1,3,2,2,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1
71,1,4,2,2,1,3,3,3,1,2,3,2,3,2,1,2,2,1,2,2,0,2,0,0,0,2
139,1,2,2,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0
135,1,4,2,1,1,0,1,2,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1
95,1,4,2,2,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,2
69,1,4,2,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
12,1,4,2,2,1,2,0,0,1,1,1,1,1,1,0,2,1,1,2,1,1,2,0,0,1,0
